representation,classifier,protocol,metric,filtered_point,baseline_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
hubert,mlp,R_S,balanced_accuracy,0.5197413855099163,0.5349644092282305,-0.015223023718314188,-0.014915395852256232,0.011491764324813653,-0.03766483829692169,0.008016802584268781,0.189,2000,subject,CI includes zero
hubert,mlp,R_S,roc_auc,0.5871136142659916,0.5791227446030868,0.007990869662904854,0.008079008324731598,0.009256097296027943,-0.011429847687494454,0.026304588440916238,0.359,2000,subject,CI includes zero
hubert,mlp,R_S,mcc,0.05551125387429748,0.07577990316281559,-0.020268649288518112,-0.01955175471170353,0.02465409478843606,-0.06978770209077917,0.029203133351920294,0.422,2000,subject,CI includes zero
hubert,mlp,S_R,f1,0.16962485812722683,0.3610554814854195,-0.19143062335819266,-0.19156944560515698,0.03078838042337247,-0.25317308214831635,-0.13051063074045252,0.0,2000,subject,CI excludes zero
hubert,mlp,S_R,balanced_accuracy,0.5138155169831141,0.5339437486018365,-0.020128231618722348,-0.020138258388856307,0.00993226320727985,-0.04093701463455557,-0.002246850114248108,0.023,2000,subject,CI excludes zero
hubert,mlp,S_R,roc_auc,0.5558717565666389,0.5801036025931222,-0.024231846026483317,-0.02389783189952292,0.01874606520645403,-0.06112816606254818,0.012158881060312062,0.206,2000,subject,CI includes zero
hubert,mlp,S_R,mcc,0.03444926476056086,0.0728485551359236,-0.038399290375362743,-0.0383823896915701,0.023826626073751144,-0.08722548655013707,0.005126920602280544,0.078,2000,subject,CI includes zero
hubert,random_forest,R_R,f1,0.4321974086472058,0.531266181611088,-0.09906877296388217,-0.09860214620121295,0.015522468592331452,-0.12973714227268893,-0.06855207306195488,0.0,2000,subject,CI excludes zero
hubert,random_forest,R_R,balanced_accuracy,0.5473255828411746,0.560688680584914,-0.013363097743739338,-0.013383420869460434,0.0050619573259218275,-0.023910263919787,-0.004465485270858621,0.007,2000,subject,CI excludes zero
hubert,random_forest,R_R,roc_auc,0.5989942600920972,0.6034926236661824,-0.0044983635740851735,-0.004511529189474958,0.004465290672785896,-0.013716298154025188,0.004440892401848193,0.294,2000,subject,CI includes zero
hubert,random_forest,R_R,mcc,0.10490864503603976,0.1278413047355108,-0.022932659699471045,-0.023022447863626044,0.01035905341558268,-0.04397621922952073,-0.003618494751759006,0.016,2000,subject,CI excludes zero
hubert,random_forest,S_S,f1,0.4422401558307964,0.5349448892915173,-0.09270473346072089,-0.09317723741764201,0.01592776233443253,-0.12434991702722852,-0.0623063783143966,0.0,2000,subject,CI excludes zero
hubert,random_forest,S_S,balanced_accuracy,0.5745668214008304,0.5846591020893217,-0.010092280688491329,-0.010025083008542367,0.0048439658402141105,-0.01971714245977584,-0.0005835788450826919,0.033,2000,subject,CI excludes zero
hubert,random_forest,S_S,roc_auc,0.6297900485582928,0.6363109507402355,-0.006520902181942678,-0.006726538172192248,0.004568741162042757,-0.015787574072921064,0.0018383892761114004,0.133,2000,subject,CI includes zero
hubert,random_forest,S_S,mcc,0.1620356233026644,0.18022715355410415,-0.01819153025143974,-0.0180308452219954,0.010286488866127399,-0.03920686764716421,0.0016798481590292852,0.07,2000,subject,CI includes zero
hubert,random_forest,R_S,f1,0.3490586221405358,0.3907362567405174,-0.04167763459998158,-0.04261783071746116,0.02491302012190625,-0.08969874799969775,0.00805042316428646,0.092,2000,subject,CI includes zero
hubert,random_forest,R_S,balanced_accuracy,0.5413782835648521,0.5443907142291946,-0.003012430664342536,-0.003388052458895969,0.008060560184844467,-0.017065554370390465,0.01375604981679568,0.618,2000,subject,CI includes zero
