representation,classifier,protocol,metric,ablation_point,full_fusion_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_minus_data2vec_spectrogram,mlp,S_R,roc_auc,0.5775253111287519,0.5656127905833213,0.011912520545430683,0.011677059363265794,0.009847888172394422,-0.006519668214642114,0.03174605941063938,0.237,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,mlp,S_R,mcc,0.04321413965568581,0.06297042067869933,-0.019756281023013522,-0.020074183463409254,0.017180606523864033,-0.054382879866769596,0.01307157337103332,0.253,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,random_forest,R_R,f1,0.5227766370167328,0.5279695910395414,-0.005192954022808616,-0.005279651141337059,0.00681242016001939,-0.018560182419188394,0.008009153974685828,0.439,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,random_forest,R_R,balanced_accuracy,0.5709976204982462,0.5679321298744855,0.003065490623760714,0.003097671939996409,0.003977567495836806,-0.004311664334166755,0.01081971863398389,0.43,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,random_forest,R_R,roc_auc,0.607493244357576,0.615997160470398,-0.008503916112821974,-0.008518986348497902,0.004765951539166546,-0.01802270562317008,0.0005565218741387676,0.066,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,random_forest,R_R,mcc,0.15227595607892186,0.14472788204753867,0.0075480740313831896,0.007619960407829223,0.008972764480748291,-0.009325829302321443,0.025973757036948035,0.397,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,random_forest,S_S,f1,0.5504376969493354,0.5658965694892013,-0.015458872539865887,-0.015466262291085879,0.00812095323658122,-0.031145301018336933,0.0006246905351917411,0.062,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,random_forest,S_S,balanced_accuracy,0.5810525500086888,0.5916149753161518,-0.010562425307462986,-0.010550455694334623,0.005127763431616297,-0.020748591768776747,-0.0005881367737412062,0.038,2000,subject,CI excludes zero
full_minus_data2vec_spectrogram,random_forest,S_S,roc_auc,0.6219186027962639,0.6317526816496044,-0.009834078853340533,-0.009841911682001868,0.004619713334185413,-0.019167736246381347,-0.000942833536681477,0.027,2000,subject,CI excludes zero
full_minus_data2vec_spectrogram,random_forest,S_S,mcc,0.16951624785949662,0.1920948440703997,-0.02257859621090308,-0.022556674521757098,0.011136002226206183,-0.044790898410436014,-0.0006734104598880441,0.04,2000,subject,CI excludes zero
