representation,classifier,protocol,fold,dimension,metric,fixed_point,baseline_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_fusion,svm_rbf,S_R,4,768,balanced_accuracy,0.5527942283582654,0.5,0.052794228358265416,0.052547145398747566,0.022626622253574535,0.012966236458734163,0.09866114378972875,0.001,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,4,768,roc_auc,0.5835279768732601,0.5301004979945066,0.05342747887875343,0.05255275182435879,0.0347462097987707,-0.01088195043756737,0.12333803295941931,0.126,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,4,768,mcc,0.10461686792981109,0.0,0.10461686792981109,0.10418267607753842,0.04998284889229108,0.014329848822947945,0.2069698853304485,0.018,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,4,1536,f1,0.3521522564823502,0.6734057374060001,-0.32125348092364986,-0.3207937818737488,0.09213031703134314,-0.514737257934054,-0.15449555723221392,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,4,1536,balanced_accuracy,0.5586673263206755,0.5,0.058667326320675506,0.05876354185538019,0.018883300971067687,0.02059498083340712,0.09435201438880682,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,4,1536,roc_auc,0.5905736203116656,0.5,0.0905736203116656,0.09091579732378635,0.025527562879686244,0.04014447906416317,0.1399520548773668,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,4,1536,mcc,0.13362041535125702,0.0,0.13362041535125702,0.13401206858439893,0.03822443199714716,0.05832648945588572,0.2030184623449261,0.002,2000,subject,CI excludes zero
full_fusion_v2,svm_rbf,R_S,0,384,f1,0.33158456440063805,0.0012044564890093346,0.3303801079116287,0.3281467828804988,0.07422058265312514,0.18866122820137216,0.4792192542316426,0.0,2000,subject,CI excludes zero
full_fusion_v2,svm_rbf,R_S,0,384,balanced_accuracy,0.51533851587204,0.5003027550711475,0.015035760800892528,0.014354477345655476,0.04073755638178577,-0.05869620988671227,0.1009615807618872,0.766,2000,subject,CI includes zero
full_fusion_v2,svm_rbf,R_S,0,384,roc_auc,0.5770408716017417,0.598264597585526,-0.021223725983784303,-0.020680906280988818,0.03640789409254069,-0.09529816504788019,0.04642821692161059,0.587,2000,subject,CI includes zero
full_fusion_v2,svm_rbf,R_S,0,384,mcc,0.03178180105787136,0.005906104523483934,0.025875696534387427,0.024467688384179034,0.08588533826572232,-0.12881562973909258,0.20609637907296027,0.821,2000,subject,CI includes zero
full_fusion_v2,svm_rbf,R_S,0,768,f1,0.2470806389304355,0.0,0.2470806389304355,0.2480253287117365,0.07739047632949236,0.10963007610719239,0.40788317484323044,0.0,2000,subject,CI excludes zero
full_fusion_v2,svm_rbf,R_S,0,768,balanced_accuracy,0.5223140779130584,0.5,0.022314077913058394,0.022301854235942258,0.025117857566129,-0.016364710289975725,0.07980662172916254,0.426,2000,subject,CI includes zero
full_fusion_v2,svm_rbf,R_S,0,768,roc_auc,0.540517893461712,0.5249358264485877,0.015582067013124257,0.01586438165421858,0.042295847341718235,-0.05656560389501162,0.10814349455635373,0.754,2000,subject,CI includes zero
